Model,Type,Params (M),FLOPs (G),Standard Acc (Primary),Standard F1 (Primary),Historic F1,Other F1,Overall Acc,Speed (ms)
ResNet-50,CNN (baseline),25.6,4.1,0.4397,0.4066,0.0000,0.0000,0.4397,2.7
ViT-B/16,Transformer (flat),86.0,17.6,0.4061,0.3610,0.0000,0.0000,0.4061,6.6
DINOv2-S,Transformer (self-sup.),22.0,4.6,0.4757,0.4554,0.0000,0.0000,0.4757,3.2
Swin-V2-T,Transformer (hierarchical),28.0,4.5,0.4245,0.3736,0.0000,0.0000,0.4245,4.5
EfficientNet-V2-S,CNN (Fused-MBConv),21.5,2.9,0.4558,0.4079,0.0000,0.0000,0.4558,2.7
ConvNeXt-Tiny,Modern CNN (Depthwise 7x7),28.6,4.5,0.4139,0.3585,0.0000,0.0000,0.4139,2.8
